"Step","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R__MIN","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/avg_R__MAX","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R__MIN","pgx-reversi-baseline-full - eval/vs_baseline/player2/avg_R__MAX"
"395","","","","0.41796875","0.41796875","0.41796875"
"400","","","","0.4208984375","0.4208984375","0.4208984375"
"405","","","","0.2119140625","0.2119140625","0.2119140625"
"410","","","","0.4189453125","0.4189453125","0.4189453125"
"415","","","","0.4521484375","0.4521484375","0.4521484375"
"420","","","","0.3935546875","0.3935546875","0.3935546875"
"425","","","","0.5439453125","0.5439453125","0.5439453125"
"430","","","","0.4951171875","0.4951171875","0.4951171875"
"435","","","","0.498046875","0.498046875","0.498046875"
"440","","","","0.3974609375","0.3974609375","0.3974609375"
"445","","","","0.33203125","0.33203125","0.33203125"
"450","","","","0.349609375","0.349609375","0.349609375"
"455","","","","0.404296875","0.404296875","0.404296875"
"460","","","","0.5087890625","0.5087890625","0.5087890625"
"465","","","","0.486328125","0.486328125","0.486328125"
"470","","","","0.4716796875","0.4716796875","0.4716796875"
"475","","","","0.486328125","0.486328125","0.486328125"
"480","","","","0.4091796875","0.4091796875","0.4091796875"
"485","","","","0.494140625","0.494140625","0.494140625"
"490","","","","0.4599609375","0.4599609375","0.4599609375"
"495","","","","0.375","0.375","0.375"
"500","","","","0.4775390625","0.4775390625","0.4775390625"
"505","","","","0.5078125","0.5078125","0.5078125"
"510","","","","0.4111328125","0.4111328125","0.4111328125"
"515","","","","0.4462890625","0.4462890625","0.4462890625"
"520","","","","0.4951171875","0.4951171875","0.4951171875"
"525","","","","0.5302734375","0.5302734375","0.5302734375"
"530","","","","0.51171875","0.51171875","0.51171875"
"535","","","","0.50390625","0.50390625","0.50390625"
"540","","","","0.427734375","0.427734375","0.427734375"
"545","","","","0.384765625","0.384765625","0.384765625"
"550","","","","0.41796875","0.41796875","0.41796875"
"555","","","","0.546875","0.546875","0.546875"
"560","","","","0.44140625","0.44140625","0.44140625"
"565","","","","0.4638671875","0.4638671875","0.4638671875"
"570","","","","0.4931640625","0.4931640625","0.4931640625"
"575","","","","0.4072265625","0.4072265625","0.4072265625"
"580","","","","0.490234375","0.490234375","0.490234375"
"585","","","","0.4853515625","0.4853515625","0.4853515625"
"590","","","","0.486328125","0.486328125","0.486328125"
"595","","","","0.52734375","0.52734375","0.52734375"
"600","","","","0.5078125","0.5078125","0.5078125"
"605","","","","0.5","0.5","0.5"
"610","","","","0.41796875","0.41796875","0.41796875"
"615","","","","0.5869140625","0.5869140625","0.5869140625"
"620","","","","0.5322265625","0.5322265625","0.5322265625"
"625","","","","0.5185546875","0.5185546875","0.5185546875"
"630","","","","0.4638671875","0.4638671875","0.4638671875"
"635","","","","0.55859375","0.55859375","0.55859375"
"640","","","","0.5185546875","0.5185546875","0.5185546875"
"645","","","","0.4951171875","0.4951171875","0.4951171875"
"650","","","","0.466796875","0.466796875","0.466796875"
"655","","","","0.4990234375","0.4990234375","0.4990234375"
"660","","","","0.494140625","0.494140625","0.494140625"
"665","","","","0.44921875","0.44921875","0.44921875"
"670","","","","0.4326171875","0.4326171875","0.4326171875"
"675","","","","0.4697265625","0.4697265625","0.4697265625"
"680","","","","0.5634765625","0.5634765625","0.5634765625"
"685","","","","0.4609375","0.4609375","0.4609375"
"690","","","","0.458984375","0.458984375","0.458984375"
"695","","","","0.5283203125","0.5283203125","0.5283203125"
"700","","","","0.50390625","0.50390625","0.50390625"
"705","","","","0.5576171875","0.5576171875","0.5576171875"
"710","","","","0.462890625","0.462890625","0.462890625"
"715","","","","0.4189453125","0.4189453125","0.4189453125"
"720","","","","0.447265625","0.447265625","0.447265625"
"725","","","","0.529296875","0.529296875","0.529296875"
"730","","","","0.5341796875","0.5341796875","0.5341796875"
"735","","","","0.4541015625","0.4541015625","0.4541015625"
"740","","","","0.4677734375","0.4677734375","0.4677734375"
"745","","","","0.4912109375","0.4912109375","0.4912109375"
"750","","","","0.556640625","0.556640625","0.556640625"
"755","","","","0.5224609375","0.5224609375","0.5224609375"
"760","","","","0.5234375","0.5234375","0.5234375"
"765","","","","0.509765625","0.509765625","0.509765625"
"770","","","","0.4638671875","0.4638671875","0.4638671875"
