"Step","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/win_rate","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/win_rate__MIN","ldx-reversi-baseline-full-obs - eval/vs_baseline/player2/win_rate__MAX","pgx-reversi-baseline-full - eval/vs_baseline/player2/win_rate","pgx-reversi-baseline-full - eval/vs_baseline/player2/win_rate__MIN","pgx-reversi-baseline-full - eval/vs_baseline/player2/win_rate__MAX"
"585","","","","0.728515625","0.728515625","0.728515625"
"590","","","","0.732421875","0.732421875","0.732421875"
"595","","","","0.7509765625","0.7509765625","0.7509765625"
"600","","","","0.7412109375","0.7412109375","0.7412109375"
"605","","","","0.740234375","0.740234375","0.740234375"
"610","","","","0.6904296875","0.6904296875","0.6904296875"
"615","","","","0.7841796875","0.7841796875","0.7841796875"
"620","","","","0.75","0.75","0.75"
"625","","","","0.74609375","0.74609375","0.74609375"
"630","","","","0.720703125","0.720703125","0.720703125"
"635","","","","0.7685546875","0.7685546875","0.7685546875"
"640","","","","0.748046875","0.748046875","0.748046875"
"645","","","","0.734375","0.734375","0.734375"
"650","","","","0.724609375","0.724609375","0.724609375"
"655","","","","0.7353515625","0.7353515625","0.7353515625"
"660","","","","0.734375","0.734375","0.734375"
"665","","","","0.71484375","0.71484375","0.71484375"
"670","","","","0.7041015625","0.7041015625","0.7041015625"
"675","","","","0.7255859375","0.7255859375","0.7255859375"
"680","","","","0.76953125","0.76953125","0.76953125"
"685","","","","0.7177734375","0.7177734375","0.7177734375"
"690","","","","0.716796875","0.716796875","0.716796875"
"695","","","","0.7509765625","0.7509765625","0.7509765625"
"700","","","","0.740234375","0.740234375","0.740234375"
"705","","","","0.76953125","0.76953125","0.76953125"
"710","","","","0.7216796875","0.7216796875","0.7216796875"
"715","","","","0.69140625","0.69140625","0.69140625"
"720","","","","0.7138671875","0.7138671875","0.7138671875"
"725","","","","0.751953125","0.751953125","0.751953125"
"730","","","","0.75390625","0.75390625","0.75390625"
"735","","","","0.7109375","0.7109375","0.7109375"
"740","","","","0.716796875","0.716796875","0.716796875"
"745","","","","0.728515625","0.728515625","0.728515625"
"750","","","","0.7666015625","0.7666015625","0.7666015625"
"755","","","","0.751953125","0.751953125","0.751953125"
"760","","","","0.7490234375","0.7490234375","0.7490234375"
"765","","","","0.740234375","0.740234375","0.740234375"
"770","","","","0.7119140625","0.7119140625","0.7119140625"
