"Step","ldx-reversi-baseline-full-obs - eval/vs_baseline/player1/avg_R","ldx-reversi-baseline-full-obs - eval/vs_baseline/player1/avg_R__MIN","ldx-reversi-baseline-full-obs - eval/vs_baseline/player1/avg_R__MAX","pgx-reversi-baseline-full - eval/vs_baseline/player1/avg_R","pgx-reversi-baseline-full - eval/vs_baseline/player1/avg_R__MIN","pgx-reversi-baseline-full - eval/vs_baseline/player1/avg_R__MAX"
"0","-0.974609375","-0.974609375","-0.974609375","-0.9658203125","-0.9658203125","-0.9658203125"
"5","-0.9384765625","-0.9384765625","-0.9384765625","-0.9140625","-0.9140625","-0.9140625"
"10","-0.8349609375","-0.8349609375","-0.8349609375","-0.8857421875","-0.8857421875","-0.8857421875"
"15","-0.7216796875","-0.7216796875","-0.7216796875","-0.806640625","-0.806640625","-0.806640625"
"20","-0.720703125","-0.720703125","-0.720703125","-0.7001953125","-0.7001953125","-0.7001953125"
"25","-0.490234375","-0.490234375","-0.490234375","-0.6171875","-0.6171875","-0.6171875"
"30","-0.4755859375","-0.4755859375","-0.4755859375","-0.5234375","-0.5234375","-0.5234375"
"35","-0.3662109375","-0.3662109375","-0.3662109375","-0.3271484375","-0.3271484375","-0.3271484375"
"40","-0.39453125","-0.39453125","-0.39453125","-0.2783203125","-0.2783203125","-0.2783203125"
"45","-0.3115234375","-0.3115234375","-0.3115234375","-0.2080078125","-0.2080078125","-0.2080078125"
"50","-0.3671875","-0.3671875","-0.3671875","-0.2275390625","-0.2275390625","-0.2275390625"
"55","-0.3720703125","-0.3720703125","-0.3720703125","-0.17578125","-0.17578125","-0.17578125"
"60","-0.3408203125","-0.3408203125","-0.3408203125","-0.212890625","-0.212890625","-0.212890625"
"65","-0.4619140625","-0.4619140625","-0.4619140625","-0.2041015625","-0.2041015625","-0.2041015625"
"70","-0.2607421875","-0.2607421875","-0.2607421875","-0.1396484375","-0.1396484375","-0.1396484375"
"75","-0.2197265625","-0.2197265625","-0.2197265625","-0.212890625","-0.212890625","-0.212890625"
"80","-0.1083984375","-0.1083984375","-0.1083984375","-0.203125","-0.203125","-0.203125"
"85","-0.150390625","-0.150390625","-0.150390625","-0.0576171875","-0.0576171875","-0.0576171875"
"90","-0.1494140625","-0.1494140625","-0.1494140625","-0.1298828125","-0.1298828125","-0.1298828125"
"95","0.0048828125","0.0048828125","0.0048828125","-0.1708984375","-0.1708984375","-0.1708984375"
"100","-0.01171875","-0.01171875","-0.01171875","-0.162109375","-0.162109375","-0.162109375"
"105","0.09375","0.09375","0.09375","-0.1923828125","-0.1923828125","-0.1923828125"
"110","0.037109375","0.037109375","0.037109375","-0.0927734375","-0.0927734375","-0.0927734375"
"115","-0.0068359375","-0.0068359375","-0.0068359375","-0.1220703125","-0.1220703125","-0.1220703125"
"120","0.0966796875","0.0966796875","0.0966796875","-0.16796875","-0.16796875","-0.16796875"
"125","0.0126953125","0.0126953125","0.0126953125","-0.1396484375","-0.1396484375","-0.1396484375"
"130","0.173828125","0.173828125","0.173828125","-0.0166015625","-0.0166015625","-0.0166015625"
"135","0.2490234375","0.2490234375","0.2490234375","0.0390625","0.0390625","0.0390625"
"140","0.2841796875","0.2841796875","0.2841796875","0.0205078125","0.0205078125","0.0205078125"
"145","0.2451171875","0.2451171875","0.2451171875","0.2255859375","0.2255859375","0.2255859375"
"150","0.3369140625","0.3369140625","0.3369140625","0.1435546875","0.1435546875","0.1435546875"
"155","0.2080078125","0.2080078125","0.2080078125","0.169921875","0.169921875","0.169921875"
"160","0.2705078125","0.2705078125","0.2705078125","0.1337890625","0.1337890625","0.1337890625"
"165","0.083984375","0.083984375","0.083984375","0.130859375","0.130859375","0.130859375"
"170","-0.0107421875","-0.0107421875","-0.0107421875","0.1826171875","0.1826171875","0.1826171875"
"175","-0.03125","-0.03125","-0.03125","0.177734375","0.177734375","0.177734375"
"180","0.080078125","0.080078125","0.080078125","0.1005859375","0.1005859375","0.1005859375"
"185","0.0947265625","0.0947265625","0.0947265625","0.1943359375","0.1943359375","0.1943359375"
"190","0.0009765625","0.0009765625","0.0009765625","0.1845703125","0.1845703125","0.1845703125"
"195","0.09375","0.09375","0.09375","0.1767578125","0.1767578125","0.1767578125"
"200","0.068359375","0.068359375","0.068359375","0.259765625","0.259765625","0.259765625"
"205","0.17578125","0.17578125","0.17578125","0.2080078125","0.2080078125","0.2080078125"
"210","0.435546875","0.435546875","0.435546875","0.0703125","0.0703125","0.0703125"
"215","0.4990234375","0.4990234375","0.4990234375","0.134765625","0.134765625","0.134765625"
"220","","","","0.1123046875","0.1123046875","0.1123046875"
"225","","","","0.1123046875","0.1123046875","0.1123046875"
"230","","","","0.1640625","0.1640625","0.1640625"
"235","","","","0.2265625","0.2265625","0.2265625"
"240","","","","0.2138671875","0.2138671875","0.2138671875"
"245","","","","0.232421875","0.232421875","0.232421875"
"250","","","","0.1552734375","0.1552734375","0.1552734375"
"255","","","","0.107421875","0.107421875","0.107421875"
"260","","","","0.138671875","0.138671875","0.138671875"
"265","","","","0.2373046875","0.2373046875","0.2373046875"
"270","","","","0.2958984375","0.2958984375","0.2958984375"
"275","","","","0.24609375","0.24609375","0.24609375"
"280","","","","0.3359375","0.3359375","0.3359375"
"285","","","","0.333984375","0.333984375","0.333984375"
"290","","","","0.2080078125","0.2080078125","0.2080078125"
"295","","","","0.2021484375","0.2021484375","0.2021484375"
"300","","","","0.2451171875","0.2451171875","0.2451171875"
"305","","","","0.2626953125","0.2626953125","0.2626953125"
"310","","","","0.3779296875","0.3779296875","0.3779296875"
"315","","","","0.41796875","0.41796875","0.41796875"
