Name,p/s,m/s,TotalPlayouts
Havannah,23989.510690057712,2891544.0106185847,719695
Hex,132088.6828606178,1.4201079138059732E7,3962924
Connect Four,312544.03316906944,6662758.858774286,9376334
Connect6,1339.2444117939685,274019.6236859817,40189
Gomoku,61406.63240224129,6913398.239467021,1842207
Pente,1610.1472244634408,251135.54407310288,48315
Tic-Tac-Toe,993234.9431973876,7826588.161887025,29797094
Yavalath,280752.40390883706,5509658.682544117,8422703
Yavalax,3996.5854784978237,486601.70563591307,119907
Reversi,8985.65308066543,596740.6079687941,269579
