Name,p/s,m/s,TotalPlayouts
Havannah,24297.58464153075,2927187.93950574,728935
Hex,92922.22668204471,9990510.981936118,2787673
Connect Four,113478.20913758017,2419554.718595086,3404350
Connect6,1397.8648081644872,286264.28826665285,41941
Gomoku,66336.03234358554,7469291.202330212,1990087
Pente,1714.9697659429692,267272.1803614137,51455
Tic-Tac-Toe,859848.1255278585,6775671.49181234,25795449
Yavalath,298136.61037042394,5849203.771671047,8944106
Yavalax,4106.593704743362,500525.32271347166,123204
Reversi,10625.87017655236,705660.6571752478,318784
